name,amount,deadline,min_gpa,major,state,first_gen_required,financial_need_required,description,link
"Hispanic Scholarship Fund","$500 - $5,000","2026-02-15",3.0,"Any","Any","No","Yes","The Hispanic Scholarship Fund provides scholarships to students of Hispanic heritage who are pursuing higher education. The amount of the scholarship varies based on the student's financial need and academic achievement.","https://www.hsf.net/scholarship"
"UNCF Scholarships","$1,000 - $5,000","2026-03-31",2.5,"Any","Any","No","Yes","UNCF offers various scholarships to African American students pursuing higher education. The scholarship amounts and eligibility criteria vary based on the specific scholarship program.","https://www.uncf.org/scholarships"
"Asian & Pacific Islander American Scholarship Fund","$2,500 - $5,000","2026-04-30",3.0,"Any","Any","No","Yes","The Asian & Pacific Islander American Scholarship Fund provides scholarships to Asian and Pacific Islander American students pursuing higher education. The scholarship amounts and eligibility criteria vary based on the specific scholarship program.","https://apiasf.org/scholarship"
"Native American Scholarship Fund","$1,000 - $5,000","2026-05-31",2.5,"Any","Any","No","Yes","The Native American Scholarship Fund offers scholarships to Native American students pursuing higher education. The scholarship amounts and eligibility criteria vary based on the specific scholarship program.","https://www.nasf.org/scholarships"
"First-Generation College Student Scholarship","$1,000 - $5,000","2026-06-30",3.0,"Any","Any","Yes","Yes","This scholarship is specifically for first-generation college students who are pursuing higher education. The scholarship amounts and eligibility criteria vary based on the specific scholarship program.","https://www.firstgencollegescholarship.org/apply"
"Financial Need-Based Scholarship","$1,000 - $5,000","2026-07-31",2.5,"Any","Any","No","Yes","This scholarship is awarded based on financial need and is open to students of all backgrounds. The scholarship amounts and eligibility criteria vary based on the specific scholarship program.","https://www.financialneedscholarship.org/apply"
"Coca-Cola Scholars Program","$20,000","2025-10-31",3.0,"Any","Any","No","Yes","The Coca-Cola Scholars Program provides scholarships to high school seniors who demonstrate leadership, academic excellence, and community involvement. The scholarship amount is $20,000 for each recipient.","https://www.coca-colascholarsfoundation.org/apply"
"Jack Kent Cooke Foundation College Scholarship","Up to $40,000 per year","2025-11-15",3.5,"Any","Any","Yes","Yes","The Jack Kent Cooke Foundation College Scholarship provides financial support to high-achieving high school seniors with financial need. The scholarship amount can be up to $40,000 per year covering tuition living expenses books and other educational costs.","https://www.jkcf.org/our-scholarships/college-scholarship-program/apply"
"Society of Women Engineers Scholarship","$1,000 - $5,000","2025-12-31",3.0,"Engineering","Any","No","Yes","The Society of Women Engineers offers scholarships to female students pursuing degrees in engineering technology and computer science. The scholarship amounts and eligibility criteria vary based on the specific scholarship program.","https://swe.org/scholarships"
"Burger King Scholars Program","$1,000 - $50,000","2026-01-31",2.5,"Any","Any","No","Yes","The Burger King Scholars Program provides scholarships to high school seniors who demonstrate academic achievement leadership and community involvement. The scholarship amounts vary based on the specific scholarship program.","https://www.bkmclamorefoundation.org/what-we-do/scholarships"
